52441 function calls (51748 primitive calls) in 51.543 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1043(__import__)
       70    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:119(release)
       64    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:159(__init__)
       64    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:163(__enter__)
       64    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:170(__exit__)
       70    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(_get_module_lock)
       66    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:190(cb)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:195(_lock_unlock_module)
    94/13    0.000    0.000    0.042    0.003 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
       59    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:225(_verbose_message)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:235(_requires_builtin_wrapper)
       59    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:310(__init__)
       59    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:314(__enter__)
       59    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(__exit__)
      236    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:324(<genexpr>)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       64    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(__init__)
      103    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:406(cached)
       59    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:419(parent)
       59    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:427(has_location)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:436(spec_from_loader)
       59    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:510(_init_module_attrs)
    59/58    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:570(module_from_spec)
    59/13    0.000    0.000    0.042    0.003 <frozen importlib._bootstrap>:659(_load_unlocked)
       64    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:716(find_spec)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:737(create_module)
       66    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__init__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:745(exec_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:762(is_package)
       59    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:789(find_spec)
      182    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:852(__enter__)
      182    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:856(__exit__)
       64    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:879(_find_spec)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:919(_sanity_check)
    64/13    0.000    0.000    0.044    0.003 <frozen importlib._bootstrap>:939(_find_and_load_unlocked)
       70    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:94(acquire)
    64/13    0.000    0.000    0.044    0.003 <frozen importlib._bootstrap>:966(_find_and_load)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:972(_gcd_import)
   121/21    0.000    0.000    0.037    0.002 <frozen importlib._bootstrap>:996(_handle_fromlist)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1047(_path_hooks)
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1064(_path_importer_cache)
       59    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1101(_get_spec)
       59    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1133(find_spec)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(__init__)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1184(<genexpr>)
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1210(_get_spec)
      146    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1215(find_spec)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1260(_fill_cache)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1301(path_hook_for_FileFinder)
       98    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:246(cache_from_source)
      146    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:34(_relax_case)
       54    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:342(_get_cached)
      749    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:366(_verbose_message)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:382(_check_name_wrapper)
       49    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:419(_validate_bytecode_header)
       98    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:45(_r_long)
       49    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:474(_compile_bytecode)
      764    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:50(_path_join)
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:513(spec_from_file_location)
      764    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:52(<listcomp>)
       98    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:56(_path_split)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:656(create_module)
    49/13    0.000    0.000    0.041    0.003 <frozen importlib._bootstrap_external>:659(exec_module)
      268    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:68(_path_stat)
       49    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:729(get_code)
       73    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:78(_path_is_mode_type)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:786(__init__)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:811(get_filename)
       49    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:816(get_data)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:826(path_stats)
       69    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:87(_path_isfile)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:892(__init__)
        5    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap_external>:903(create_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:911(exec_module)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:92(_path_isdir)
